GeneID	NEGEDIA_41
__no_feature	3685137
__alignment_not_unique	810849
ENSG00000251562	147031
ENSG00000198886	47160
ENSG00000198938	46799
ENSG00000198763	41907
ENSG00000160182	36245
__ambiguous	34822
ENSG00000198840	23834
ENSG00000106211	22541
ENSG00000198899	20482
ENSG00000245532	20043
ENSG00000108821	17354
ENSG00000211592	12058
ENSG00000160180	11697
ENSG00000171345	11681
ENSG00000198727	10305
ENSG00000142156	9914
ENSG00000233927	9098
ENSG00000125534	8385
ENSG00000111341	8113
ENSG00000198034	7917
ENSG00000164587	6103
ENSG00000229807	5805
ENSG00000130522	5783
ENSG00000166441	5470
ENSG00000142937	5428
ENSG00000142534	5268
ENSG00000130402	5257
ENSG00000144713	5209
ENSG00000184009	5137
ENSG00000196405	4969
ENSG00000075624	4962
ENSG00000019582	4920
ENSG00000034510	4741
ENSG00000063177	4715
ENSG00000138326	4704
ENSG00000189058	4608
ENSG00000156482	4460
ENSG00000106541	4432
ENSG00000164692	4376
ENSG00000112306	4343
ENSG00000133112	4279
ENSG00000115414	4237
ENSG00000096384	4228
ENSG00000162889	3896
ENSG00000137154	3882
ENSG00000213741	3874
ENSG00000149273	3818
ENSG00000166710	3779
ENSG00000168710	3777
ENSG00000164919	3756
ENSG00000150991	3753
ENSG00000197746	3743
ENSG00000087510	3701
ENSG00000171858	3689
ENSG00000196126	3680
ENSG00000161016	3676
ENSG00000169045	3642
ENSG00000211895	3551
ENSG00000132475	3476
ENSG00000198712	3465
ENSG00000137331	3458
ENSG00000105372	3426
ENSG00000140264	3420
ENSG00000149806	3356
ENSG00000106153	3319
ENSG00000161970	3307
ENSG00000089220	3301
ENSG00000265972	3277
ENSG00000197756	3184
ENSG00000185650	3165
ENSG00000080824	3156
ENSG00000179218	3130
ENSG00000167658	3084
ENSG00000168542	3064
ENSG00000111640	2984
ENSG00000105193	2970
ENSG00000184900	2969
ENSG00000182899	2957
ENSG00000165119	2869
ENSG00000137818	2829
ENSG00000107485	2825
ENSG00000117984	2788
ENSG00000132424	2739
ENSG00000167978	2732
ENSG00000145824	2715
ENSG00000124614	2710
ENSG00000089280	2679
ENSG00000087086	2648
ENSG00000092841	2634
ENSG00000139644	2629
ENSG00000174748	2626
ENSG00000196230	2603
ENSG00000089157	2593
ENSG00000142089	2565
ENSG00000087460	2563
ENSG00000113140	2563
ENSG00000127022	2563
ENSG00000071082	2546
ENSG00000101150	2522
ENSG00000008988	2507
ENSG00000198804	2479
ENSG00000198888	2467
ENSG00000124766	2435
ENSG00000105221	2393
ENSG00000172757	2392
ENSG00000149925	2388
ENSG00000142676	2361
ENSG00000143947	2314
ENSG00000125691	2291
ENSG00000151892	2280
ENSG00000166913	2268
ENSG00000147604	2231
ENSG00000198786	2224
ENSG00000108107	2216
ENSG00000104447	2214
ENSG00000100219	2198
ENSG00000135404	2185
ENSG00000048828	2179
ENSG00000136888	2167
ENSG00000189143	2160
ENSG00000185201	2157
ENSG00000070756	2155
ENSG00000130255	2106
ENSG00000091831	2090
ENSG00000241553	2086
ENSG00000100234	2085
ENSG00000118523	2042
ENSG00000197958	2040
ENSG00000069275	2034
ENSG00000161996	2033
ENSG00000110700	2025
ENSG00000172551	2002
ENSG00000221983	1999
ENSG00000131469	1987
ENSG00000213853	1983
ENSG00000120738	1973
ENSG00000113739	1970
ENSG00000148303	1964
ENSG00000117450	1939
ENSG00000169710	1937
ENSG00000115268	1932
ENSG00000115648	1885
ENSG00000160948	1874
ENSG00000204628	1874
ENSG00000182774	1863
ENSG00000204287	1858
ENSG00000184840	1857
ENSG00000133110	1842
ENSG00000068697	1837
ENSG00000206503	1834
ENSG00000122566	1832
ENSG00000170421	1818
ENSG00000109475	1816
ENSG00000072110	1806
ENSG00000104529	1805
ENSG00000185630	1767
ENSG00000167460	1751
ENSG00000149591	1748
ENSG00000136942	1739
ENSG00000125520	1727
ENSG00000141905	1723
ENSG00000067560	1718
ENSG00000124193	1716
ENSG00000147403	1700
ENSG00000101193	1694
ENSG00000173113	1690
ENSG00000086062	1689
ENSG00000116754	1681
ENSG00000196074	1680
ENSG00000178980	1679
ENSG00000179820	1677
ENSG00000100201	1665
ENSG00000170315	1659
ENSG00000177600	1654
ENSG00000160789	1648
ENSG00000074410	1646
ENSG00000142541	1641
ENSG00000141753	1634
ENSG00000011465	1629
ENSG00000044574	1621
ENSG00000150593	1615
