GeneID	NEGEDIA_68
__no_feature	3459731
__alignment_not_unique	928217
ENSG00000251562	131615
ENSG00000198886	54598
__ambiguous	43985
ENSG00000198938	43364
ENSG00000198763	40756
ENSG00000198840	33988
ENSG00000108821	33207
ENSG00000106211	29472
ENSG00000198899	28231
ENSG00000111341	25477
ENSG00000245532	20323
ENSG00000211592	16931
ENSG00000171345	13579
ENSG00000198727	12466
ENSG00000169710	12194
ENSG00000233927	11846
ENSG00000080824	11845
ENSG00000126709	11686
ENSG00000142156	11421
ENSG00000198034	11342
ENSG00000164587	9762
ENSG00000149273	9205
ENSG00000164919	8441
ENSG00000142937	8233
ENSG00000150687	7235
ENSG00000204389	7199
ENSG00000161016	7198
ENSG00000137818	7024
ENSG00000115414	6527
ENSG00000144713	6523
ENSG00000142534	6504
ENSG00000198712	6417
ENSG00000166441	6410
ENSG00000164692	6345
ENSG00000197756	6274
ENSG00000112306	6177
ENSG00000198888	6164
ENSG00000087086	6156
ENSG00000156482	6139
ENSG00000019582	5935
ENSG00000133112	5911
ENSG00000150991	5893
ENSG00000167658	5862
ENSG00000166710	5799
ENSG00000168710	5687
ENSG00000147604	5581
ENSG00000143947	5524
ENSG00000138326	5523
ENSG00000213741	5501
ENSG00000132475	5433
ENSG00000089157	5405
ENSG00000099194	5313
ENSG00000104447	5189
ENSG00000063177	5187
ENSG00000106153	5057
ENSG00000008988	4916
ENSG00000168542	4849
ENSG00000034510	4689
ENSG00000141424	4528
ENSG00000196126	4490
ENSG00000110484	4463
ENSG00000197746	4457
ENSG00000127022	4288
ENSG00000105372	4271
ENSG00000140264	4221
ENSG00000182899	4206
ENSG00000075624	4201
ENSG00000117450	4182
ENSG00000111640	4154
ENSG00000105193	3938
ENSG00000160182	3930
ENSG00000070756	3905
ENSG00000096384	3899
ENSG00000125148	3851
ENSG00000149925	3848
ENSG00000184009	3841
ENSG00000117984	3796
ENSG00000125534	3709
ENSG00000198804	3547
ENSG00000198786	3531
ENSG00000145592	3486
ENSG00000089220	3444
ENSG00000100219	3424
ENSG00000137154	3417
ENSG00000130522	3406
ENSG00000115268	3389
ENSG00000174748	3344
ENSG00000185650	3293
ENSG00000161970	3272
ENSG00000104529	3245
ENSG00000147403	3242
ENSG00000148303	3232
ENSG00000229807	3204
ENSG00000113140	3173
ENSG00000197958	3158
ENSG00000123416	3146
ENSG00000125691	3126
ENSG00000131469	3118
ENSG00000113739	3072
ENSG00000167978	3037
ENSG00000071082	3001
ENSG00000166913	2999
ENSG00000149806	2994
ENSG00000139644	2990
ENSG00000109475	2922
ENSG00000142676	2888
ENSG00000142541	2873
ENSG00000108298	2855
ENSG00000136888	2828
ENSG00000162889	2818
ENSG00000184007	2807
ENSG00000169045	2794
ENSG00000135404	2765
ENSG00000185201	2762
ENSG00000074410	2761
ENSG00000107485	2749
ENSG00000196230	2744
ENSG00000124614	2733
ENSG00000187514	2731
ENSG00000140988	2711
ENSG00000142089	2652
ENSG00000130255	2647
ENSG00000136942	2614
ENSG00000241343	2609
ENSG00000177600	2606
ENSG00000100234	2592
ENSG00000172757	2587
ENSG00000147649	2577
ENSG00000164924	2571
ENSG00000092841	2516
ENSG00000234745	2506
ENSG00000120738	2490
ENSG00000137497	2486
ENSG00000168461	2432
ENSG00000179218	2419
ENSG00000156467	2365
ENSG00000204628	2350
ENSG00000130402	2346
ENSG00000213853	2318
ENSG00000137331	2291
ENSG00000133110	2279
ENSG00000132002	2230
ENSG00000163682	2224
ENSG00000182774	2210
ENSG00000198242	2186
ENSG00000171346	2171
ENSG00000166347	2144
ENSG00000157514	2106
ENSG00000161996	2097
ENSG00000170315	2096
ENSG00000182718	2079
ENSG00000171858	2078
ENSG00000108107	2058
ENSG00000102316	2054
ENSG00000147676	2051
ENSG00000170889	2038
ENSG00000184900	2033
ENSG00000110700	2016
ENSG00000164733	2005
ENSG00000241553	2003
ENSG00000101439	1986
ENSG00000100201	1970
ENSG00000164754	1961
ENSG00000178719	1961
ENSG00000136068	1959
ENSG00000152795	1957
ENSG00000035862	1956
ENSG00000167460	1952
ENSG00000265972	1934
ENSG00000089280	1928
ENSG00000152082	1919
ENSG00000176485	1916
ENSG00000044574	1900
ENSG00000172809	1899
ENSG00000214530	1898
ENSG00000141905	1896
ENSG00000141753	1884
ENSG00000048828	1873
ENSG00000100867	1869
ENSG00000105221	1864
ENSG00000189058	1852
ENSG00000197111	1822
ENSG00000160948	1807
ENSG00000185630	1807
ENSG00000132424	1788
ENSG00000069275	1768
ENSG00000116754	1765
ENSG00000134759	1765
ENSG00000204388	1752
ENSG00000091986	1747
ENSG00000228253	1747
ENSG00000088247	1739
ENSG00000135390	1732
ENSG00000162599	1717
ENSG00000198755	1699
ENSG00000153944	1691
ENSG00000196405	1680
ENSG00000083845	1676
ENSG00000184840	1663
ENSG00000124766	1660
ENSG00000198668	1656
ENSG00000182670	1645
ENSG00000165119	1641
ENSG00000160180	1636
ENSG00000186468	1636
ENSG00000148671	1635
ENSG00000068697	1629
ENSG00000163359	1621
ENSG00000211679	1621
ENSG00000155506	1619
ENSG00000105438	1618
ENSG00000198363	1613
ENSG00000221983	1607
ENSG00000135821	1603
ENSG00000144381	1590
ENSG00000177508	1584
ENSG00000118816	1583
ENSG00000181163	1569
ENSG00000204287	1560
ENSG00000038427	1559
ENSG00000206503	1549
ENSG00000178980	1548
ENSG00000167526	1520
ENSG00000122406	1518
ENSG00000149591	1515
ENSG00000110092	1509
ENSG00000110321	1507
ENSG00000101040	1498
ENSG00000167797	1497
ENSG00000186868	1496
ENSG00000130303	1495
ENSG00000166033	1495
ENSG00000115053	1494
ENSG00000104904	1492
ENSG00000108848	1492
ENSG00000163683	1490
ENSG00000124935	1488
ENSG00000067225	1485
ENSG00000143384	1475
ENSG00000173812	1473
ENSG00000142871	1472
ENSG00000198918	1472
ENSG00000107796	1470
ENSG00000124172	1462
ENSG00000110651	1453
ENSG00000143321	1431
ENSG00000145425	1429
ENSG00000125868	1424
ENSG00000088832	1421
ENSG00000099953	1417
ENSG00000109814	1404
ENSG00000196924	1402
ENSG00000189067	1401
ENSG00000114857	1380
ENSG00000089693	1379
ENSG00000116133	1377
ENSG00000122566	1376
ENSG00000142173	1374
ENSG00000163191	1373
ENSG00000150593	1363
ENSG00000128272	1358
ENSG00000197766	1357
ENSG00000114353	1352
ENSG00000152767	1351
ENSG00000175334	1350
ENSG00000171604	1349
ENSG00000163466	1342
ENSG00000071894	1325
ENSG00000185624	1323
ENSG00000127663	1320
ENSG00000133321	1302
ENSG00000173821	1296
ENSG00000077549	1291
ENSG00000223865	1285
ENSG00000133639	1284
ENSG00000171223	1276
ENSG00000265681	1274
ENSG00000141867	1272
ENSG00000185950	1261
ENSG00000185896	1251
ENSG00000123349	1247
ENSG00000126247	1246
ENSG00000009307	1241
ENSG00000030582	1229
ENSG00000178951	1228
ENSG00000131051	1221
ENSG00000162244	1216
ENSG00000173120	1216
ENSG00000115310	1214
ENSG00000100097	1202
ENSG00000130985	1195
ENSG00000114861	1194
ENSG00000160932	1194
ENSG00000101825	1192
ENSG00000104419	1189
ENSG00000159140	1189
ENSG00000114391	1185
ENSG00000144136	1184
ENSG00000136156	1180
ENSG00000211895	1177
ENSG00000140319	1167
ENSG00000173113	1165
ENSG00000135720	1161
ENSG00000160862	1158
ENSG00000108654	1153
ENSG00000188229	1140
ENSG00000013588	1139
ENSG00000131171	1135
ENSG00000149357	1135
ENSG00000188157	1134
ENSG00000124126	1133
ENSG00000117298	1129
ENSG00000275023	1128
ENSG00000064666	1127
ENSG00000141582	1126
ENSG00000145824	1125
ENSG00000123562	1122
ENSG00000067560	1119
ENSG00000198408	1119
ENSG00000104522	1112
ENSG00000127914	1112
ENSG00000242265	1111
ENSG00000143878	1110
ENSG00000167996	1107
ENSG00000069020	1104
ENSG00000087460	1104
ENSG00000167702	1103
ENSG00000105576	1100
ENSG00000196628	1098
ENSG00000091527	1095
ENSG00000109332	1093
ENSG00000136238	1092
ENSG00000130203	1089
ENSG00000011465	1080
ENSG00000196531	1076
ENSG00000175356	1073
ENSG00000168137	1066
ENSG00000061273	1060
ENSG00000170348	1057
ENSG00000004478	1054
ENSG00000185499	1053
ENSG00000164032	1051
ENSG00000100906	1049
ENSG00000153187	1049
ENSG00000113712	1048
ENSG00000011304	1045
ENSG00000101745	1041
ENSG00000130635	1040
ENSG00000169083	1040
ENSG00000169564	1036
ENSG00000167470	1035
ENSG00000100316	1031
ENSG00000162576	1031
ENSG00000124193	1030
ENSG00000170421	1030
ENSG00000011600	1027
ENSG00000162734	1026
