GeneID	NEGEDIA_27
__no_feature	3861932
__alignment_not_unique	827350
ENSG00000251562	62609
__ambiguous	34114
ENSG00000198886	33271
ENSG00000198938	32159
ENSG00000108821	28463
ENSG00000111341	21536
ENSG00000245532	18975
ENSG00000198899	18854
ENSG00000198763	16982
ENSG00000142156	11779
ENSG00000019582	11756
ENSG00000198840	10842
ENSG00000198034	9666
ENSG00000112306	9203
ENSG00000144713	8594
ENSG00000166441	8505
ENSG00000164587	8361
ENSG00000211592	7792
ENSG00000142534	7545
ENSG00000233927	7481
ENSG00000197746	6938
ENSG00000133112	6905
ENSG00000196126	6891
ENSG00000087086	6394
ENSG00000171345	6289
ENSG00000198727	6171
ENSG00000142937	5938
ENSG00000106211	5929
ENSG00000115414	5650
ENSG00000185650	5472
ENSG00000148513	5446
ENSG00000075624	5398
ENSG00000166710	5193
ENSG00000138326	5002
ENSG00000149273	4990
ENSG00000164692	4976
ENSG00000137818	4858
ENSG00000142089	4671
ENSG00000063177	4531
ENSG00000143947	4507
ENSG00000012223	4393
ENSG00000197756	4335
ENSG00000167658	4218
ENSG00000185499	4212
ENSG00000135404	4150
ENSG00000105372	4131
ENSG00000069275	4073
ENSG00000185201	4024
ENSG00000161970	4021
ENSG00000164733	3988
ENSG00000137154	3852
ENSG00000150991	3846
ENSG00000162889	3809
ENSG00000196230	3792
ENSG00000196405	3760
ENSG00000204287	3725
ENSG00000124614	3621
ENSG00000034510	3562
ENSG00000168710	3511
ENSG00000149806	3376
ENSG00000089157	3375
ENSG00000107485	3323
ENSG00000105193	3302
ENSG00000213741	3283
ENSG00000168542	3234
ENSG00000113140	3066
ENSG00000117450	3050
ENSG00000162599	3036
ENSG00000140264	3011
ENSG00000142676	2998
ENSG00000125534	2994
ENSG00000182899	2924
ENSG00000127022	2892
ENSG00000011600	2890
ENSG00000184009	2875
ENSG00000147403	2839
ENSG00000198712	2780
ENSG00000091831	2775
ENSG00000145592	2770
ENSG00000100234	2745
ENSG00000130255	2735
ENSG00000166913	2729
ENSG00000071082	2716
ENSG00000115268	2716
ENSG00000167978	2694
ENSG00000174748	2682
ENSG00000229807	2655
ENSG00000161016	2646
ENSG00000109475	2633
ENSG00000106153	2597
ENSG00000163191	2568
ENSG00000265972	2549
ENSG00000117984	2486
ENSG00000130522	2483
ENSG00000197958	2461
ENSG00000170889	2436
ENSG00000111640	2434
ENSG00000067225	2414
ENSG00000030582	2412
ENSG00000125691	2401
ENSG00000198804	2389
ENSG00000091986	2363
ENSG00000101439	2349
ENSG00000156482	2318
ENSG00000110700	2299
ENSG00000008988	2275
ENSG00000172757	2271
ENSG00000184900	2264
ENSG00000113739	2259
ENSG00000206503	2258
ENSG00000136942	2257
ENSG00000137331	2253
ENSG00000132475	2214
ENSG00000142173	2180
