GeneID	NEGEDIA_32
__no_feature	3889788
__alignment_not_unique	1112982
ENSG00000251562	159162
ENSG00000198886	67386
ENSG00000198763	56783
ENSG00000198938	53641
ENSG00000198899	32778
ENSG00000198840	29070
__ambiguous	18472
ENSG00000198727	18186
ENSG00000108821	11835
ENSG00000106211	9682
ENSG00000245532	9081
ENSG00000166441	7535
ENSG00000198712	7246
ENSG00000148513	5880
ENSG00000228253	5459
ENSG00000107485	5403
ENSG00000198888	4665
ENSG00000198786	4616
ENSG00000142534	4423
ENSG00000130522	4128
ENSG00000164692	3986
ENSG00000115414	3957
ENSG00000198804	3560
ENSG00000104447	3392
ENSG00000111341	3384
ENSG00000019582	3246
ENSG00000132424	3170
ENSG00000141905	3102
ENSG00000198034	2988
ENSG00000149273	2766
ENSG00000075624	2740
ENSG00000166710	2513
ENSG00000142156	2474
ENSG00000108107	2466
ENSG00000069275	2360
ENSG00000233927	2341
ENSG00000185650	2277
ENSG00000101745	2234
ENSG00000063177	2223
ENSG00000080824	2202
ENSG00000142089	2134
ENSG00000130255	2103
ENSG00000089280	2084
ENSG00000124766	2027
ENSG00000185499	1998
ENSG00000167978	1989
ENSG00000196405	1972
ENSG00000089220	1968
ENSG00000167658	1951
ENSG00000158710	1927
ENSG00000156482	1921
ENSG00000130402	1882
ENSG00000144713	1878
ENSG00000162889	1835
ENSG00000166913	1824
ENSG00000163191	1802
ENSG00000172757	1800
ENSG00000178951	1795
ENSG00000182492	1747
ENSG00000092841	1667
ENSG00000185201	1653
ENSG00000133110	1647
ENSG00000138326	1634
ENSG00000112306	1606
ENSG00000161016	1590
ENSG00000130985	1570
ENSG00000171345	1569
ENSG00000164587	1529
ENSG00000114857	1521
ENSG00000198918	1520
ENSG00000142173	1513
ENSG00000161970	1498
ENSG00000149591	1496
ENSG00000151892	1485
ENSG00000070756	1467
ENSG00000137818	1457
ENSG00000164733	1456
ENSG00000105372	1446
ENSG00000269821	1432
ENSG00000177600	1424
ENSG00000067560	1412
ENSG00000061273	1411
ENSG00000133112	1404
ENSG00000096384	1399
ENSG00000137154	1389
ENSG00000188157	1386
ENSG00000091831	1369
ENSG00000109475	1350
ENSG00000105193	1346
ENSG00000117523	1328
ENSG00000122786	1326
ENSG00000168542	1310
ENSG00000150593	1308
ENSG00000116754	1295
ENSG00000197956	1288
ENSG00000127914	1284
ENSG00000111640	1280
ENSG00000127022	1274
ENSG00000182899	1266
ENSG00000141424	1253
ENSG00000141867	1240
ENSG00000132475	1235
ENSG00000087086	1214
ENSG00000160789	1208
ENSG00000106261	1207
ENSG00000141027	1201
ENSG00000213853	1198
ENSG00000170561	1194
ENSG00000243649	1182
ENSG00000142937	1181
ENSG00000197756	1168
ENSG00000197746	1167
ENSG00000038427	1155
ENSG00000175274	1144
ENSG00000139644	1138
ENSG00000071082	1132
ENSG00000184009	1126
ENSG00000109321	1105
ENSG00000136026	1101
ENSG00000213741	1100
ENSG00000087460	1094
ENSG00000099622	1088
ENSG00000125730	1077
ENSG00000075223	1074
ENSG00000229807	1073
ENSG00000168710	1064
ENSG00000204628	1048
ENSG00000104964	1045
ENSG00000167470	1044
ENSG00000089157	1039
ENSG00000100906	1037
ENSG00000244754	1036
ENSG00000137331	1026
ENSG00000187514	1022
ENSG00000162599	1020
ENSG00000091986	1009
ENSG00000048828	1006
ENSG00000119707	995
ENSG00000137497	993
ENSG00000143321	983
ENSG00000108848	977
ENSG00000196586	975
ENSG00000122257	968
ENSG00000072110	967
ENSG00000265681	966
ENSG00000174748	961
ENSG00000118058	956
ENSG00000125534	956
ENSG00000163466	948
ENSG00000136238	946
ENSG00000144674	939
ENSG00000185129	938
ENSG00000142102	934
ENSG00000184840	927
ENSG00000008988	926
ENSG00000134871	925
ENSG00000159335	922
ENSG00000165119	919
ENSG00000105438	913
ENSG00000083845	912
ENSG00000121716	908
ENSG00000122641	906
ENSG00000136942	905
ENSG00000241553	905
ENSG00000196924	902
ENSG00000155506	894
ENSG00000113140	893
ENSG00000177685	893
ENSG00000173821	892
ENSG00000085224	889
ENSG00000149187	885
ENSG00000205730	882
ENSG00000118680	881
ENSG00000137573	875
ENSG00000086062	874
ENSG00000133639	873
ENSG00000186340	870
ENSG00000145423	869
ENSG00000150991	855
ENSG00000197747	854
ENSG00000088247	847
ENSG00000142541	841
ENSG00000103490	840
ENSG00000106624	838
ENSG00000067082	837
ENSG00000154380	837
ENSG00000184900	832
ENSG00000196628	830
ENSG00000126247	826
ENSG00000147862	823
ENSG00000142676	820
ENSG00000101773	818
ENSG00000189334	815
ENSG00000167526	809
ENSG00000126777	806
ENSG00000140319	798
ENSG00000169710	795
ENSG00000172061	787
ENSG00000114353	786
ENSG00000167468	784
ENSG00000185236	783
ENSG00000183779	782
ENSG00000128272	781
ENSG00000123144	780
ENSG00000198668	780
ENSG00000168137	769
ENSG00000103275	767
ENSG00000158417	762
ENSG00000109046	758
ENSG00000147649	756
ENSG00000212907	753
ENSG00000161999	751
ENSG00000006125	749
ENSG00000090905	747
ENSG00000145592	747
ENSG00000163359	747
ENSG00000169045	746
ENSG00000110092	745
ENSG00000142798	743
ENSG00000265491	741
ENSG00000167460	737
ENSG00000231925	734
ENSG00000186591	732
ENSG00000003989	725
ENSG00000105323	723
ENSG00000034510	722
ENSG00000167004	721
ENSG00000169871	721
ENSG00000128595	720
ENSG00000168461	720
ENSG00000175029	718
ENSG00000117360	717
ENSG00000157227	717
ENSG00000140264	716
ENSG00000074695	714
ENSG00000101439	712
ENSG00000060237	710
ENSG00000026508	709
ENSG00000143222	708
ENSG00000099875	706
ENSG00000137312	703
ENSG00000198625	703
ENSG00000146830	702
ENSG00000131116	701
ENSG00000182670	700
ENSG00000186174	700
ENSG00000211592	698
ENSG00000089053	697
ENSG00000100201	697
ENSG00000127603	697
ENSG00000088888	696
ENSG00000100234	696
ENSG00000177508	695
ENSG00000196230	691
ENSG00000198408	691
ENSG00000011304	689
ENSG00000074181	689
ENSG00000117984	689
ENSG00000118900	688
ENSG00000106263	687
ENSG00000123636	687
ENSG00000132716	687
ENSG00000167702	687
ENSG00000184007	685
ENSG00000178209	684
ENSG00000146247	683
ENSG00000186868	676
ENSG00000141449	674
ENSG00000162576	672
ENSG00000170889	670
ENSG00000103342	667
ENSG00000166337	667
ENSG00000087365	665
ENSG00000035862	663
ENSG00000091317	662
ENSG00000072071	661
ENSG00000055609	660
ENSG00000120885	660
ENSG00000177700	659
ENSG00000062716	658
ENSG00000169925	654
ENSG00000124614	653
ENSG00000100650	652
ENSG00000141753	649
ENSG00000115461	647
ENSG00000123349	647
ENSG00000145734	647
ENSG00000099337	646
ENSG00000185630	645
ENSG00000186468	643
ENSG00000244879	643
ENSG00000088832	642
ENSG00000109920	642
ENSG00000091527	640
ENSG00000090621	639
ENSG00000179820	636
ENSG00000122566	635
ENSG00000104852	634
ENSG00000107796	634
ENSG00000137831	633
ENSG00000171858	633
ENSG00000148303	632
ENSG00000196562	632
ENSG00000103495	631
ENSG00000266402	629
ENSG00000170004	627
ENSG00000197757	623
ENSG00000108639	621
ENSG00000177469	621
ENSG00000125691	619
ENSG00000009307	618
ENSG00000105698	618
ENSG00000119383	618
ENSG00000139218	617
ENSG00000196199	617
ENSG00000143126	612
ENSG00000197111	612
ENSG00000117362	611
ENSG00000153113	608
ENSG00000114861	605
ENSG00000118816	604
ENSG00000111642	603
ENSG00000118473	603
ENSG00000060339	602
ENSG00000131051	602
ENSG00000101347	601
ENSG00000142453	600
ENSG00000065000	599
ENSG00000104529	599
ENSG00000142192	597
ENSG00000160182	596
ENSG00000124831	591
ENSG00000144136	590
ENSG00000173120	589
ENSG00000141858	588
ENSG00000070214	587
ENSG00000143761	587
ENSG00000005483	586
ENSG00000178980	585
ENSG00000149806	584
ENSG00000167615	582
ENSG00000114391	581
ENSG00000206503	577
ENSG00000179218	576
ENSG00000171634	575
ENSG00000185624	575
ENSG00000071894	574
ENSG00000159140	574
ENSG00000008517	573
ENSG00000118689	571
ENSG00000179134	567
ENSG00000197958	567
ENSG00000124422	565
ENSG00000148180	565
ENSG00000168056	565
ENSG00000170776	565
ENSG00000125844	563
ENSG00000127946	563
ENSG00000186812	563
ENSG00000010244	561
ENSG00000196126	560
ENSG00000008196	556
ENSG00000143442	556
ENSG00000148154	556
ENSG00000101335	552
ENSG00000133226	550
ENSG00000265972	550
ENSG00000047410	549
ENSG00000054267	549
ENSG00000226179	549
ENSG00000204287	548
ENSG00000125676	547
ENSG00000169083	547
ENSG00000117450	546
ENSG00000126709	544
ENSG00000143537	544
ENSG00000145012	544
ENSG00000214548	544
ENSG00000167106	543
ENSG00000181885	543
ENSG00000110321	542
ENSG00000169813	542
ENSG00000134352	541
ENSG00000142864	538
ENSG00000160862	538
ENSG00000125868	534
ENSG00000196914	534
ENSG00000198791	533
ENSG00000130429	532
ENSG00000166347	532
ENSG00000176953	532
ENSG00000188643	532
ENSG00000105221	531
ENSG00000141002	531
ENSG00000162734	531
ENSG00000234745	530
ENSG00000030582	529
ENSG00000178773	527
ENSG00000197102	527
ENSG00000172809	526
ENSG00000160948	525
ENSG00000135390	523
ENSG00000196576	523
ENSG00000116539	521
ENSG00000127663	520
ENSG00000257923	518
ENSG00000071626	515
ENSG00000100345	515
ENSG00000221983	515
ENSG00000175356	511
ENSG00000187555	511
ENSG00000141522	509
ENSG00000182774	509
ENSG00000107890	506
ENSG00000122406	506
ENSG00000089693	505
ENSG00000103145	504
ENSG00000111371	503
ENSG00000100592	501
ENSG00000223865	500
ENSG00000171604	498
ENSG00000131669	497
ENSG00000130303	495
ENSG00000143384	495
ENSG00000104824	494
ENSG00000115053	493
ENSG00000196923	490
ENSG00000213719	490
ENSG00000110066	489
ENSG00000101443	488
ENSG00000113719	488
ENSG00000026025	487
ENSG00000168036	487
ENSG00000101558	486
ENSG00000073614	485
ENSG00000153815	485
ENSG00000003402	484
ENSG00000106546	484
ENSG00000068697	483
ENSG00000168528	483
ENSG00000149932	482
ENSG00000135486	481
ENSG00000168255	481
ENSG00000037965	480
ENSG00000213923	480
ENSG00000105373	479
ENSG00000168264	478
ENSG00000129116	477
ENSG00000154370	477
ENSG00000118513	476
ENSG00000048649	475
ENSG00000064419	473
ENSG00000064607	473
ENSG00000101849	473
ENSG00000104331	473
ENSG00000104904	473
ENSG00000136068	473
ENSG00000249669	473
ENSG00000204227	472
ENSG00000111142	471
ENSG00000141736	471
ENSG00000143458	471
ENSG00000165525	471
ENSG00000166432	471
ENSG00000033867	470
ENSG00000148344	468
ENSG00000134884	466
ENSG00000185551	464
ENSG00000196739	464
ENSG00000197766	463
ENSG00000147548	462
ENSG00000151914	462
ENSG00000135506	461
ENSG00000164896	461
ENSG00000231389	461
ENSG00000105583	460
ENSG00000123500	460
ENSG00000143320	460
ENSG00000067225	459
ENSG00000100097	458
ENSG00000102362	458
ENSG00000185215	458
ENSG00000065613	457
