GeneID	NEGEDIA_40
__no_feature	3722616
__alignment_not_unique	749302
ENSG00000251562	156285
ENSG00000198886	51677
ENSG00000198938	41094
ENSG00000198899	40201
ENSG00000106211	37421
__ambiguous	33707
ENSG00000198763	22761
ENSG00000245532	20166
ENSG00000142534	18401
ENSG00000198840	16813
ENSG00000198727	12831
ENSG00000164919	12253
ENSG00000120885	11942
ENSG00000080824	10955
ENSG00000142541	10183
ENSG00000096384	9885
ENSG00000211592	8583
ENSG00000198712	8154
ENSG00000164587	7919
ENSG00000198034	7773
ENSG00000142937	7095
ENSG00000177508	6908
ENSG00000127022	6816
ENSG00000189058	6030
ENSG00000106153	5756
ENSG00000104870	5658
ENSG00000125534	5095
ENSG00000061273	4922
ENSG00000108821	4846
ENSG00000148513	4829
ENSG00000125691	4801
ENSG00000144713	4712
ENSG00000083845	4687
ENSG00000137818	4615
ENSG00000137154	4603
ENSG00000168710	4592
ENSG00000112306	4550
ENSG00000089220	4427
ENSG00000149273	4350
ENSG00000171345	4281
ENSG00000108107	4239
ENSG00000150991	4222
ENSG00000107485	4143
ENSG00000197756	4103
ENSG00000229807	4086
ENSG00000198786	4059
ENSG00000149806	3933
ENSG00000074410	3832
ENSG00000141424	3803
ENSG00000139644	3700
ENSG00000104447	3620
ENSG00000198804	3542
ENSG00000075624	3514
ENSG00000084234	3514
ENSG00000197746	3501
ENSG00000213741	3489
ENSG00000117450	3474
ENSG00000133112	3425
ENSG00000063177	3424
ENSG00000166710	3424
ENSG00000184900	3423
ENSG00000130522	3373
ENSG00000132424	3371
ENSG00000166441	3370
ENSG00000002834	3324
ENSG00000167658	3320
ENSG00000198888	3304
ENSG00000196126	3296
ENSG00000172757	3260
ENSG00000156482	3242
ENSG00000108298	3215
ENSG00000019582	3214
ENSG00000087086	3194
ENSG00000143947	3170
ENSG00000115648	3132
ENSG00000175334	3124
ENSG00000167642	3121
ENSG00000138326	3058
ENSG00000091831	3047
ENSG00000100596	3042
ENSG00000071082	2987
ENSG00000182899	2918
ENSG00000161016	2851
ENSG00000111341	2847
ENSG00000135720	2802
ENSG00000147604	2784
ENSG00000135404	2756
ENSG00000092841	2753
ENSG00000162889	2742
ENSG00000198242	2733
ENSG00000268751	2733
ENSG00000124172	2720
ENSG00000161970	2710
ENSG00000124614	2686
ENSG00000166006	2683
ENSG00000147649	2676
ENSG00000149925	2641
ENSG00000167978	2633
ENSG00000142676	2587
ENSG00000145592	2546
ENSG00000100234	2545
ENSG00000087460	2525
ENSG00000110092	2500
ENSG00000142208	2453
ENSG00000184009	2428
ENSG00000008988	2410
ENSG00000165119	2399
ENSG00000100591	2381
ENSG00000119705	2369
ENSG00000143153	2368
ENSG00000168528	2360
ENSG00000140264	2348
ENSG00000265972	2339
ENSG00000102316	2327
ENSG00000132475	2322
ENSG00000175274	2312
ENSG00000158417	2306
ENSG00000130402	2302
ENSG00000184990	2287
ENSG00000099341	2281
ENSG00000196230	2279
ENSG00000167615	2269
ENSG00000137497	2263
ENSG00000109046	2262
ENSG00000126709	2247
ENSG00000266402	2247
ENSG00000126247	2237
ENSG00000126457	2233
ENSG00000185630	2208
ENSG00000048828	2207
ENSG00000115268	2203
ENSG00000123416	2179
ENSG00000130255	2156
ENSG00000166913	2153
ENSG00000169045	2150
ENSG00000116754	2141
ENSG00000174748	2126
ENSG00000142089	2116
ENSG00000099337	2114
ENSG00000124171	2096
ENSG00000163110	2096
ENSG00000163435	2082
ENSG00000034510	2071
ENSG00000130726	2069
ENSG00000124831	2058
ENSG00000234745	2054
ENSG00000184007	2016
ENSG00000153002	2000
ENSG00000105372	1986
ENSG00000118816	1963
ENSG00000152082	1954
ENSG00000156467	1954
ENSG00000187514	1953
ENSG00000135390	1952
ENSG00000142168	1948
ENSG00000159140	1946
ENSG00000171858	1927
ENSG00000206503	1910
ENSG00000244879	1904
ENSG00000162599	1887
ENSG00000196683	1886
ENSG00000170315	1883
ENSG00000156411	1873
ENSG00000241343	1864
ENSG00000063244	1848
ENSG00000185201	1841
ENSG00000169710	1808
ENSG00000198466	1797
ENSG00000204628	1793
ENSG00000111640	1787
ENSG00000069275	1783
ENSG00000109475	1783
ENSG00000221983	1774
ENSG00000167460	1761
ENSG00000125505	1736
ENSG00000115414	1731
ENSG00000089157	1723
ENSG00000087510	1709
ENSG00000105193	1699
ENSG00000142156	1693
ENSG00000081479	1686
ENSG00000011304	1681
ENSG00000184840	1655
ENSG00000198668	1648
ENSG00000067225	1644
ENSG00000148303	1628
ENSG00000189143	1624
ENSG00000164924	1618
ENSG00000167283	1609
ENSG00000179218	1606
ENSG00000085733	1596
ENSG00000092820	1592
ENSG00000088832	1584
ENSG00000101439	1584
ENSG00000136699	1579
ENSG00000117984	1572
ENSG00000009307	1562
ENSG00000125868	1561
ENSG00000182718	1558
ENSG00000147403	1553
ENSG00000168077	1553
ENSG00000148154	1550
ENSG00000228253	1544
ENSG00000131143	1541
ENSG00000100219	1540
ENSG00000163191	1538
ENSG00000088247	1527
ENSG00000136238	1523
ENSG00000170889	1519
ENSG00000141905	1518
ENSG00000182670	1517
ENSG00000196531	1517
ENSG00000196396	1509
ENSG00000230989	1489
ENSG00000185129	1486
ENSG00000110321	1484
ENSG00000127603	1482
ENSG00000104904	1480
ENSG00000140319	1472
ENSG00000125148	1469
ENSG00000113712	1457
ENSG00000136942	1450
ENSG00000163682	1449
ENSG00000135821	1447
ENSG00000141736	1447
ENSG00000124766	1439
ENSG00000166833	1428
ENSG00000121716	1421
ENSG00000026508	1417
ENSG00000185650	1404
ENSG00000167526	1402
ENSG00000008838	1393
ENSG00000122406	1389
ENSG00000167608	1387
ENSG00000182774	1382
ENSG00000164128	1379
ENSG00000198168	1375
ENSG00000241553	1373
ENSG00000275023	1368
ENSG00000137331	1358
ENSG00000140988	1347
ENSG00000197958	1341
ENSG00000166347	1339
ENSG00000089280	1336
ENSG00000141741	1335
ENSG00000123349	1333
ENSG00000077782	1332
ENSG00000126777	1332
ENSG00000104529	1324
ENSG00000178980	1324
ENSG00000141738	1316
ENSG00000197102	1315
ENSG00000160948	1312
ENSG00000231500	1305
ENSG00000124098	1304
ENSG00000110700	1295
ENSG00000112759	1295
ENSG00000063245	1293
ENSG00000117410	1293
ENSG00000178951	1291
ENSG00000130244	1284
ENSG00000170004	1276
ENSG00000117298	1275
ENSG00000189043	1275
ENSG00000127914	1272
ENSG00000099194	1270
ENSG00000170561	1269
ENSG00000185896	1269
ENSG00000070756	1262
ENSG00000142192	1254
ENSG00000161011	1254
ENSG00000198918	1252
ENSG00000125835	1248
ENSG00000039068	1245
ENSG00000087365	1241
ENSG00000131469	1241
ENSG00000155506	1239
ENSG00000082175	1227
ENSG00000158669	1225
ENSG00000163399	1225
ENSG00000171530	1224
ENSG00000204389	1217
ENSG00000140718	1215
ENSG00000197111	1215
ENSG00000104960	1207
ENSG00000071553	1205
ENSG00000100650	1204
ENSG00000244754	1204
ENSG00000170892	1203
ENSG00000178719	1202
ENSG00000103978	1201
ENSG00000141867	1194
ENSG00000127184	1184
ENSG00000189067	1183
ENSG00000173812	1180
ENSG00000172466	1178
ENSG00000110651	1177
ENSG00000100201	1175
ENSG00000101150	1174
ENSG00000164733	1171
ENSG00000198755	1169
ENSG00000163468	1168
ENSG00000204287	1168
ENSG00000044574	1162
ENSG00000068697	1162
ENSG00000128272	1159
ENSG00000117523	1157
ENSG00000116133	1154
ENSG00000171634	1150
ENSG00000012660	1145
ENSG00000164692	1142
ENSG00000268205	1140
ENSG00000109332	1139
ENSG00000187720	1137
ENSG00000113140	1136
ENSG00000123983	1129
ENSG00000168056	1122
ENSG00000105254	1109
ENSG00000010244	1107
ENSG00000144028	1106
ENSG00000161996	1099
ENSG00000003402	1092
ENSG00000164754	1084
ENSG00000122566	1082
ENSG00000142864	1082
ENSG00000004478	1081
ENSG00000106052	1081
ENSG00000134759	1081
ENSG00000161618	1080
ENSG00000148341	1076
ENSG00000143761	1075
ENSG00000186868	1074
ENSG00000132002	1073
ENSG00000145495	1071
ENSG00000142949	1069
ENSG00000105221	1066
ENSG00000072110	1062
ENSG00000105677	1060
ENSG00000124126	1060
ENSG00000141002	1056
ENSG00000176842	1052
ENSG00000105698	1045
ENSG00000105401	1042
ENSG00000113739	1042
ENSG00000101161	1039
ENSG00000106263	1038
ENSG00000137409	1036
ENSG00000105576	1034
ENSG00000104872	1032
ENSG00000145741	1032
ENSG00000131051	1031
ENSG00000091317	1028
ENSG00000065361	1026
ENSG00000070831	1025
ENSG00000108953	1020
ENSG00000130396	1015
ENSG00000152795	1009
ENSG00000115053	1007
ENSG00000135506	1002
ENSG00000103342	1001
ENSG00000111057	1001
ENSG00000006125	1000
ENSG00000166888	997
ENSG00000163694	994
ENSG00000125844	988
ENSG00000030582	986
ENSG00000172534	986
ENSG00000116478	985
ENSG00000166411	984
ENSG00000108654	981
ENSG00000101745	980
ENSG00000177600	980
ENSG00000149187	979
ENSG00000140443	978
ENSG00000123562	977
ENSG00000130985	972
ENSG00000170515	972
ENSG00000074696	971
ENSG00000162604	970
ENSG00000101152	969
ENSG00000116560	968
ENSG00000169813	968
ENSG00000110090	965
ENSG00000108946	964
ENSG00000197766	963
ENSG00000078369	961
ENSG00000134352	959
ENSG00000008441	958
ENSG00000133226	958
ENSG00000137312	958
ENSG00000181163	952
ENSG00000139910	951
ENSG00000165458	947
ENSG00000136888	946
ENSG00000198258	946
ENSG00000167644	945
ENSG00000155368	943
ENSG00000140416	942
ENSG00000113558	940
ENSG00000173692	938
ENSG00000100316	936
ENSG00000177954	936
ENSG00000104973	935
ENSG00000124155	931
ENSG00000153904	929
ENSG00000129625	926
ENSG00000060237	925
ENSG00000067560	925
ENSG00000143222	921
ENSG00000179010	921
ENSG00000124733	919
ENSG00000104419	917
ENSG00000124422	915
ENSG00000117362	914
ENSG00000110958	909
ENSG00000153815	908
ENSG00000124214	907
ENSG00000119669	906
ENSG00000156711	906
ENSG00000161671	902
ENSG00000162989	901
ENSG00000026297	900
ENSG00000137103	897
ENSG00000145425	893
ENSG00000104331	889
ENSG00000135111	888
ENSG00000256870	888
ENSG00000186591	886
ENSG00000169925	884
ENSG00000083168	883
ENSG00000130724	883
ENSG00000204256	882
ENSG00000122565	881
ENSG00000131149	879
ENSG00000101849	878
ENSG00000116299	878
ENSG00000143320	877
ENSG00000167553	876
ENSG00000167996	876
ENSG00000197912	872
ENSG00000179262	871
ENSG00000106261	870
ENSG00000158195	869
ENSG00000187555	867
ENSG00000153187	866
ENSG00000172809	864
ENSG00000114857	862
ENSG00000123636	862
ENSG00000143321	862
ENSG00000005483	861
ENSG00000085224	861
ENSG00000099783	858
ENSG00000175582	856
ENSG00000108424	855
ENSG00000115866	853
ENSG00000213015	853
ENSG00000150753	851
ENSG00000142552	849
ENSG00000162734	849
ENSG00000099817	847
ENSG00000108848	847
ENSG00000100632	846
ENSG00000114353	846
ENSG00000185728	846
ENSG00000117154	845
ENSG00000197956	844
ENSG00000170759	843
ENSG00000177169	842
ENSG00000204592	842
ENSG00000272398	841
ENSG00000039650	839
ENSG00000124193	839
ENSG00000185787	839
ENSG00000091527	838
ENSG00000119707	836
ENSG00000136068	836
ENSG00000170421	836
ENSG00000074695	832
ENSG00000125686	832
ENSG00000089693	831
ENSG00000011009	829
ENSG00000147548	829
ENSG00000231925	828
ENSG00000154723	827
ENSG00000113732	826
ENSG00000164040	823
ENSG00000153914	822
ENSG00000146731	820
ENSG00000196262	820
ENSG00000105438	819
ENSG00000145734	818
ENSG00000121410	816
ENSG00000211677	816
ENSG00000123066	814
ENSG00000134333	814
ENSG00000088888	813
ENSG00000105887	813
ENSG00000137076	813
ENSG00000169567	813
ENSG00000127540	810
ENSG00000170893	810
ENSG00000090238	808
ENSG00000135940	808
ENSG00000009830	807
ENSG00000198355	806
ENSG00000144381	805
ENSG00000187778	804
ENSG00000123124	803
ENSG00000198363	803
ENSG00000104517	802
ENSG00000104522	802
ENSG00000104388	801
ENSG00000183779	801
ENSG00000117713	799
ENSG00000212907	799
ENSG00000213024	799
ENSG00000160862	798
ENSG00000186468	796
ENSG00000101158	794
ENSG00000111142	794
ENSG00000182087	793
ENSG00000168961	791
ENSG00000071894	788
ENSG00000126267	788
ENSG00000130770	788
ENSG00000160551	787
ENSG00000174851	787
ENSG00000177733	787
ENSG00000213853	785
ENSG00000277443	785
ENSG00000135677	784
ENSG00000110955	783
ENSG00000188488	783
ENSG00000269821	782
ENSG00000164190	781
ENSG00000126698	780
ENSG00000140575	780
ENSG00000264364	779
ENSG00000147676	778
ENSG00000103363	777
ENSG00000164405	777
ENSG00000158710	776
ENSG00000132589	775
ENSG00000265241	774
ENSG00000160710	772
ENSG00000133639	771
ENSG00000160014	771
ENSG00000117360	769
ENSG00000130723	769
ENSG00000134258	769
ENSG00000169100	769
ENSG00000157514	766
ENSG00000142546	764
ENSG00000173120	764
ENSG00000131236	762
ENSG00000136156	761
ENSG00000071575	759
ENSG00000173598	759
ENSG00000196712	758
ENSG00000233927	757
ENSG00000114391	754
ENSG00000167685	753
ENSG00000185624	753
ENSG00000088986	751
ENSG00000179820	751
ENSG00000086062	750
ENSG00000099875	750
ENSG00000104946	747
ENSG00000189403	744
ENSG00000173801	742
ENSG00000231389	739
ENSG00000182196	738
ENSG00000265681	738
ENSG00000011600	737
ENSG00000134369	736
ENSG00000166598	736
ENSG00000100906	735
ENSG00000151366	732
ENSG00000184292	731
ENSG00000100345	730
ENSG00000105968	729
ENSG00000156508	729
ENSG00000172301	729
ENSG00000100353	727
ENSG00000171863	727
ENSG00000177025	725
ENSG00000198408	725
ENSG00000223865	725
ENSG00000128928	724
ENSG00000152767	724
ENSG00000173674	724
ENSG00000167258	723
ENSG00000122257	722
ENSG00000168092	722
ENSG00000139613	721
ENSG00000168137	720
ENSG00000205531	719
ENSG00000065548	717
ENSG00000119048	716
ENSG00000135446	716
ENSG00000160058	716
ENSG00000008952	714
ENSG00000103257	713
ENSG00000154473	713
ENSG00000164346	713
ENSG00000237441	713
ENSG00000134419	710
ENSG00000168264	710
ENSG00000176046	710
ENSG00000125676	708
ENSG00000006756	707
ENSG00000038219	707
ENSG00000131626	706
ENSG00000196504	706
ENSG00000196935	704
ENSG00000054654	703
ENSG00000064393	702
ENSG00000126456	702
ENSG00000169136	702
ENSG00000090266	701
ENSG00000118058	700
