GeneID	NEGEDIA_19
__no_feature	3897786
__alignment_not_unique	807463
ENSG00000251562	55468
__ambiguous	42779
ENSG00000198886	37232
ENSG00000108821	35166
ENSG00000198938	26320
ENSG00000211592	23474
ENSG00000198899	22043
ENSG00000198763	20397
ENSG00000198840	16109
ENSG00000106211	16030
ENSG00000198034	13756
ENSG00000245532	11926
ENSG00000142156	10508
ENSG00000142534	9108
ENSG00000166441	8958
ENSG00000111341	8809
ENSG00000164692	8679
ENSG00000198727	8078
ENSG00000019582	7947
ENSG00000012223	7799
ENSG00000164587	7792
ENSG00000112306	7750
ENSG00000233927	7487
ENSG00000144713	6827
ENSG00000115414	6769
ENSG00000133112	6661
ENSG00000105372	6576
ENSG00000148513	6528
ENSG00000138326	6470
ENSG00000166710	6076
ENSG00000137818	6035
ENSG00000142089	5940
ENSG00000160182	5827
ENSG00000142937	5718
ENSG00000197746	5589
ENSG00000143947	5582
ENSG00000197756	5578
ENSG00000137154	5480
ENSG00000075624	5443
ENSG00000126709	5410
ENSG00000167658	5319
ENSG00000087086	5206
ENSG00000034510	5154
ENSG00000063177	5136
ENSG00000111640	4769
ENSG00000150991	4759
ENSG00000125534	4740
ENSG00000105193	4728
ENSG00000115461	4663
ENSG00000211895	4649
ENSG00000149273	4627
ENSG00000113140	4473
ENSG00000185650	4444
ENSG00000160180	4396
ENSG00000071082	4060
ENSG00000168542	3992
ENSG00000108107	3982
ENSG00000089157	3749
ENSG00000161970	3749
ENSG00000196405	3727
ENSG00000107485	3725
ENSG00000163191	3691
ENSG00000135404	3685
ENSG00000142541	3655
ENSG00000197958	3555
ENSG00000067225	3527
ENSG00000213741	3526
ENSG00000162889	3470
ENSG00000140264	3459
ENSG00000182899	3406
ENSG00000115268	3385
ENSG00000211899	3306
ENSG00000092841	3294
ENSG00000130522	3274
ENSG00000184009	3238
ENSG00000145592	3230
ENSG00000162599	3228
ENSG00000229807	3148
ENSG00000174748	3112
ENSG00000117984	3082
ENSG00000048828	3048
ENSG00000061273	3029
ENSG00000182492	3019
ENSG00000147403	2968
ENSG00000185499	2959
ENSG00000124614	2944
ENSG00000170889	2932
ENSG00000171345	2903
ENSG00000156482	2883
ENSG00000106153	2856
ENSG00000185201	2848
ENSG00000167460	2835
ENSG00000171346	2822
ENSG00000166913	2796
ENSG00000265972	2782
ENSG00000196126	2766
ENSG00000149806	2757
ENSG00000161016	2750
ENSG00000196230	2741
ENSG00000125691	2734
ENSG00000167978	2719
ENSG00000101439	2688
ENSG00000184900	2654
ENSG00000204287	2648
ENSG00000142676	2637
ENSG00000130402	2624
ENSG00000149591	2624
ENSG00000091986	2585
ENSG00000139644	2578
ENSG00000177600	2576
ENSG00000069275	2555
ENSG00000157514	2494
ENSG00000198786	2477
ENSG00000241343	2451
ENSG00000100234	2428
ENSG00000089220	2419
ENSG00000168710	2394
ENSG00000008988	2361
ENSG00000172757	2355
ENSG00000136942	2349
ENSG00000068697	2343
ENSG00000038427	2318
ENSG00000089280	2312
ENSG00000130255	2286
ENSG00000142173	2280
ENSG00000148303	2280
ENSG00000096384	2268
ENSG00000164733	2268
ENSG00000160862	2266
ENSG00000133110	2262
ENSG00000206503	2259
ENSG00000127022	2243
ENSG00000100219	2236
ENSG00000198712	2210
ENSG00000178980	2205
ENSG00000110700	2181
ENSG00000114353	2156
ENSG00000221983	2150
ENSG00000131469	2149
ENSG00000204628	2138
ENSG00000104447	2120
ENSG00000171858	2104
ENSG00000132424	2092
ENSG00000165119	2089
ENSG00000132475	2073
ENSG00000106541	2068
ENSG00000234745	2037
ENSG00000120885	2030
ENSG00000162576	2028
ENSG00000189058	1985
ENSG00000072110	1983
ENSG00000080824	1966
ENSG00000179218	1963
ENSG00000120738	1950
ENSG00000198918	1931
ENSG00000110651	1924
ENSG00000135821	1921
ENSG00000107796	1914
ENSG00000182670	1905
ENSG00000241553	1900
ENSG00000105221	1895
ENSG00000198888	1891
ENSG00000108298	1887
ENSG00000167526	1880
ENSG00000228253	1880
ENSG00000088247	1876
ENSG00000130985	1876
ENSG00000198804	1869
ENSG00000172809	1855
ENSG00000130635	1844
ENSG00000126247	1840
ENSG00000125730	1838
ENSG00000147604	1824
ENSG00000149925	1821
ENSG00000196924	1820
ENSG00000083845	1799
ENSG00000087460	1797
ENSG00000187514	1795
ENSG00000198755	1770
ENSG00000141905	1769
ENSG00000102265	1755
ENSG00000114861	1749
ENSG00000115648	1745
ENSG00000122406	1731
ENSG00000070756	1722
ENSG00000100201	1721
ENSG00000035862	1717
ENSG00000159140	1702
ENSG00000109475	1697
ENSG00000163682	1685
ENSG00000088832	1679
ENSG00000107438	1676
ENSG00000184840	1674
ENSG00000198668	1671
ENSG00000182774	1663
ENSG00000124766	1662
ENSG00000150593	1654
ENSG00000135390	1651
ENSG00000118816	1629
ENSG00000106261	1628
ENSG00000091831	1622
ENSG00000125148	1612
ENSG00000231389	1610
ENSG00000171223	1603
ENSG00000211677	1593
ENSG00000211892	1581
ENSG00000011600	1573
ENSG00000135720	1568
ENSG00000184007	1564
ENSG00000168461	1556
ENSG00000137331	1555
ENSG00000185630	1554
ENSG00000067560	1538
ENSG00000114857	1536
ENSG00000132465	1533
ENSG00000177508	1533
ENSG00000167470	1531
ENSG00000186468	1522
ENSG00000104904	1514
ENSG00000122359	1514
ENSG00000123416	1499
ENSG00000169710	1486
ENSG00000110321	1470
ENSG00000170315	1457
ENSG00000177954	1452
ENSG00000100345	1451
ENSG00000077942	1433
ENSG00000197956	1433
ENSG00000127603	1426
ENSG00000169100	1424
ENSG00000197111	1413
ENSG00000182718	1408
ENSG00000185551	1408
ENSG00000105438	1392
ENSG00000168961	1390
ENSG00000103490	1387
ENSG00000128272	1383
ENSG00000213853	1383
ENSG00000030582	1380
ENSG00000127914	1380
ENSG00000131143	1369
ENSG00000104529	1364
ENSG00000169045	1353
ENSG00000159674	1348
ENSG00000143384	1344
ENSG00000009307	1342
ENSG00000197043	1342
ENSG00000117450	1335
ENSG00000026025	1326
ENSG00000100316	1318
ENSG00000102316	1317
ENSG00000099622	1316
ENSG00000163435	1316
ENSG00000152082	1310
ENSG00000211679	1301
ENSG00000166033	1290
ENSG00000185624	1283
ENSG00000123349	1282
ENSG00000130429	1282
ENSG00000111057	1281
ENSG00000244754	1277
ENSG00000188157	1276
ENSG00000168036	1269
ENSG00000122786	1266
ENSG00000158710	1266
ENSG00000160789	1263
ENSG00000223865	1261
ENSG00000143222	1255
ENSG00000182809	1255
ENSG00000205542	1254
ENSG00000168056	1251
ENSG00000116754	1241
ENSG00000145824	1235
ENSG00000163466	1235
ENSG00000130066	1234
ENSG00000114391	1232
ENSG00000163359	1231
ENSG00000170421	1230
ENSG00000120251	1223
ENSG00000109046	1218
ENSG00000164128	1216
ENSG00000186340	1216
ENSG00000141753	1215
ENSG00000142192	1215
ENSG00000178951	1215
ENSG00000105698	1203
ENSG00000175274	1199
ENSG00000115310	1196
ENSG00000145675	1191
ENSG00000087245	1189
ENSG00000105401	1183
ENSG00000160014	1172
ENSG00000141867	1171
ENSG00000121716	1169
ENSG00000178719	1156
ENSG00000196628	1154
ENSG00000011304	1149
ENSG00000136068	1149
ENSG00000082781	1147
ENSG00000204592	1147
ENSG00000011465	1145
ENSG00000137312	1144
ENSG00000168137	1144
ENSG00000149131	1142
ENSG00000152795	1140
ENSG00000167996	1139
ENSG00000151892	1133
ENSG00000155368	1132
ENSG00000087510	1130
ENSG00000160710	1127
ENSG00000162734	1124
ENSG00000177469	1124
ENSG00000183779	1124
ENSG00000101825	1123
ENSG00000124193	1121
ENSG00000161996	1121
ENSG00000137497	1118
ENSG00000173821	1117
ENSG00000175567	1113
ENSG00000086062	1110
ENSG00000136238	1108
ENSG00000140988	1108
ENSG00000136026	1102
ENSG00000231500	1100
ENSG00000042493	1099
ENSG00000074410	1099
ENSG00000089693	1098
ENSG00000136888	1098
ENSG00000084207	1089
ENSG00000104805	1089
ENSG00000084234	1088
ENSG00000108848	1086
ENSG00000113739	1081
ENSG00000141002	1079
ENSG00000131051	1078
ENSG00000231925	1077
ENSG00000124172	1074
ENSG00000154380	1074
ENSG00000141424	1073
ENSG00000196739	1072
ENSG00000173812	1069
ENSG00000179262	1065
ENSG00000143761	1064
ENSG00000130203	1062
ENSG00000139218	1059
ENSG00000123562	1051
ENSG00000127663	1049
ENSG00000008441	1047
ENSG00000144136	1046
ENSG00000162244	1044
ENSG00000104852	1043
ENSG00000147649	1043
ENSG00000003402	1039
ENSG00000130303	1038
ENSG00000169083	1036
ENSG00000125844	1034
ENSG00000099875	1030
ENSG00000183255	1028
ENSG00000124831	1024
ENSG00000106723	1022
ENSG00000144674	1020
ENSG00000159216	1020
ENSG00000172061	1019
ENSG00000140416	1018
ENSG00000138449	1014
ENSG00000044574	1013
ENSG00000135506	1012
ENSG00000198408	1006
ENSG00000140319	1005
ENSG00000175029	1001
ENSG00000185236	999
ENSG00000186526	995
ENSG00000134352	993
ENSG00000140575	992
ENSG00000125868	990
ENSG00000176953	986
ENSG00000115884	985
ENSG00000105202	984
ENSG00000064666	983
ENSG00000101443	983
ENSG00000072778	982
ENSG00000164403	982
ENSG00000091317	980
ENSG00000155506	980
ENSG00000189171	980
ENSG00000118523	975
ENSG00000089356	974
ENSG00000085063	973
ENSG00000196498	973
ENSG00000096696	972
ENSG00000170004	972
ENSG00000240583	970
ENSG00000104522	969
ENSG00000198258	966
ENSG00000133639	964
ENSG00000179862	963
ENSG00000169925	961
ENSG00000136156	958
ENSG00000115677	953
ENSG00000163683	947
ENSG00000148671	945
ENSG00000158417	944
ENSG00000088367	941
ENSG00000103275	941
ENSG00000137076	938
ENSG00000184897	938
ENSG00000100650	936
ENSG00000145423	935
ENSG00000143933	934
ENSG00000104964	933
ENSG00000169871	933
ENSG00000118058	932
ENSG00000265491	930
ENSG00000115053	929
ENSG00000101335	927
ENSG00000153944	926
ENSG00000145425	925
ENSG00000033867	924
ENSG00000129116	924
ENSG00000189067	923
ENSG00000166509	920
ENSG00000168159	918
ENSG00000198242	918
ENSG00000105373	910
ENSG00000214078	909
ENSG00000125378	900
ENSG00000067082	899
ENSG00000101161	899
ENSG00000105583	899
ENSG00000109332	897
ENSG00000129009	897
ENSG00000105402	895
ENSG00000002834	894
ENSG00000160888	893
ENSG00000167110	893
ENSG00000196576	887
ENSG00000173801	885
ENSG00000062716	884
ENSG00000142798	883
ENSG00000101040	881
ENSG00000117362	881
ENSG00000124942	881
ENSG00000105323	879
ENSG00000013275	878
ENSG00000128595	878
ENSG00000211896	878
ENSG00000185129	877
ENSG00000100097	873
ENSG00000196531	869
ENSG00000123983	867
ENSG00000145012	866
ENSG00000101182	863
ENSG00000008838	862
ENSG00000147862	861
ENSG00000115306	860
ENSG00000133142	860
ENSG00000157657	860
ENSG00000060237	859
ENSG00000126777	858
ENSG00000105576	855
ENSG00000121310	855
ENSG00000173230	854
ENSG00000189339	854
ENSG00000085224	852
ENSG00000116299	850
ENSG00000181163	850
ENSG00000055609	849
ENSG00000144746	848
ENSG00000204262	848
ENSG00000090238	847
ENSG00000167283	847
ENSG00000100280	846
ENSG00000113712	846
ENSG00000090905	843
ENSG00000178252	843
ENSG00000160948	840
ENSG00000079246	839
ENSG00000065361	834
ENSG00000117523	832
ENSG00000164040	831
ENSG00000186868	831
ENSG00000023191	830
ENSG00000124422	830
ENSG00000131116	828
ENSG00000164919	828
ENSG00000149187	826
ENSG00000197879	826
ENSG00000168528	825
ENSG00000088888	822
ENSG00000143549	822
ENSG00000005075	820
ENSG00000197102	820
ENSG00000122566	818
ENSG00000144810	818
ENSG00000100353	817
ENSG00000102910	817
ENSG00000145741	817
ENSG00000197157	816
ENSG00000160310	814
ENSG00000123066	812
ENSG00000101421	810
ENSG00000104368	809
ENSG00000101745	808
ENSG00000148848	808
ENSG00000064651	806
ENSG00000277443	806
ENSG00000134871	805
ENSG00000142864	804
ENSG00000143321	804
ENSG00000071894	803
ENSG00000157227	803
ENSG00000124155	802
ENSG00000167468	802
ENSG00000265681	802
ENSG00000111348	800
ENSG00000163399	798
ENSG00000243649	796
ENSG00000154473	795
ENSG00000005483	790
ENSG00000159763	790
ENSG00000119655	788
ENSG00000197757	788
ENSG00000179456	786
ENSG00000122257	784
ENSG00000130208	783
ENSG00000153187	783
ENSG00000185896	780
ENSG00000179820	776
ENSG00000189334	776
ENSG00000103342	774
ENSG00000119707	771
ENSG00000124145	771
ENSG00000070831	769
ENSG00000156467	768
ENSG00000159840	768
ENSG00000130723	766
ENSG00000101150	765
ENSG00000244879	765
ENSG00000205730	761
ENSG00000148154	759
ENSG00000117360	758
ENSG00000119004	757
ENSG00000198625	756
ENSG00000168066	753
ENSG00000166927	752
ENSG00000089351	751
ENSG00000166888	751
ENSG00000180879	751
ENSG00000184640	751
ENSG00000198355	750
ENSG00000187109	749
ENSG00000106624	748
ENSG00000174444	746
ENSG00000089009	745
ENSG00000168264	744
ENSG00000171634	744
ENSG00000064961	742
ENSG00000071553	741
ENSG00000148341	740
ENSG00000118181	739
ENSG00000196262	739
ENSG00000006007	737
ENSG00000055332	737
ENSG00000158195	736
ENSG00000175334	735
ENSG00000047849	734
ENSG00000104870	733
ENSG00000010244	732
ENSG00000061938	731
ENSG00000164924	731
ENSG00000116560	730
ENSG00000071626	728
ENSG00000154096	727
ENSG00000106052	726
ENSG00000159403	726
ENSG00000249669	726
ENSG00000115415	724
ENSG00000070214	722
ENSG00000092820	722
ENSG00000196683	722
ENSG00000189143	720
ENSG00000266472	720
ENSG00000146830	719
ENSG00000164346	719
ENSG00000108953	717
ENSG00000089053	716
ENSG00000139631	716
ENSG00000159335	716
ENSG00000102898	714
ENSG00000198466	711
ENSG00000153113	710
ENSG00000166147	710
ENSG00000105220	708
ENSG00000118689	708
ENSG00000167106	708
ENSG00000260032	707
ENSG00000204525	706
ENSG00000134419	705
ENSG00000158747	705
ENSG00000196562	704
ENSG00000198700	704
ENSG00000142871	703
ENSG00000177169	703
ENSG00000186350	703
ENSG00000235687	703
ENSG00000170017	701
ENSG00000182326	701
ENSG00000118900	699
ENSG00000250479	698
ENSG00000144802	696
ENSG00000081479	695
ENSG00000171105	695
ENSG00000142168	694
ENSG00000161999	693
